host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,n_host_verifications
0.8,0.17,FALSE,8,8,TRUE,TRUE,Manhattan,Entire home/apt,1,1,1.323567139,1,150,30,1125,30,30,1125,1125,30,1125,TRUE,3,33,63,338,48,0,0,4.7,4.62,4.76,4.79,4.86,4.41,FALSE,3,3,0,0,0.33,9
0.09,0.69,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1,3,75,1,730,1,1,730,730,1,730,TRUE,3,6,18,194,409,32,0,4.45,4.49,4.78,4.8,4.71,4.64,FALSE,1,1,0,0,4.86,6
1,0.25,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1.5,2,2,275,5,1125,5,5,1125,1125,5,1125,TRUE,3,3,12,123,2,1,0,5,5,5,5,4.5,5,FALSE,1,1,0,0,0.02,3
1,1,FALSE,1,1,TRUE,FALSE,Manhattan,Private room,2,1,1,1,68,2,14,2,2,14,14,2,14,TRUE,1,16,34,192,507,33,2,4.21,3.73,4.66,4.42,4.87,4.36,FALSE,1,0,1,0,3.68,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1,75,2,14,2,2,14,14,2,14,TRUE,0,0,0,0,118,0,0,4.91,4.82,4.97,4.95,4.94,4.92,FALSE,1,0,1,0,0.87,7
1,1,TRUE,3,3,TRUE,TRUE,Brooklyn,Private room,2,1.5,1,1.593526985,98,4,21,4,4,21,21,4,21,TRUE,2,17,47,322,204,23,2,4.7,4.61,4.79,4.82,4.87,4.73,FALSE,3,1,2,0,1.48,7
1,1,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1.323567139,1,89,30,730,30,30,1125,1125,30,1125,TRUE,2,30,30,179,181,1,0,4.56,4.86,4.84,4.8,4.67,4.57,TRUE,1,1,0,0,1.24,7
1,1,FALSE,3,3,TRUE,TRUE,Manhattan,Private room,1,1,1,1,62,30,700,30,30,1125,1125,30,1125,TRUE,1,4,34,309,234,1,0,4.88,4.96,4.96,4.95,4.84,4.84,TRUE,1,0,1,0,1.82,5
1,0,FALSE,2,2,TRUE,TRUE,Brooklyn,Private room,1,1,1,1,90,27,45,27,27,45,45,27,45,TRUE,0,7,23,271,9,0,0,4.86,4.86,5,5,5,5,FALSE,2,0,2,0,0.07,5
1,0.99,TRUE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,199,2,1125,2,2,1125,1125,2,1125,TRUE,6,33,63,334,280,42,3,4.87,4.9,4.96,4.91,4.93,4.78,TRUE,2,1,1,0,3.05,8
